Protein_key,DegreeCentrality,EigenvectorCentrality,BetweennessCentrality,ClosenessCentrality,Clustering
6183.Smp_167870.1,0.0001575795776867318,2.4484914808529945e-05,0.0,0.3373942985752147,0.0
6183.Smp_067260.1,0.026000630318310746,0.003761011082448086,8.251439260341445e-06,0.46170651065217755,0.572949002217295
6183.Smp_080210.1,0.016861014812480302,0.0016833911294844817,2.586400575423686e-05,0.4558327197813779,0.20666549109504498
6183.Smp_066740.1,0.05373463599117554,0.00525668509400642,0.0002274006941908537,0.4742746507865922,0.3738140417457306
6183.Smp_144890.1,0.0023636936653009767,0.00024507524467802907,1.8856045783303832e-06,0.40312742374258265,0.1619047619047619
6183.Smp_128550.1,0.24976363063346987,0.03861717086593283,0.0009244981119265394,0.5607923450630746,0.2705310199789695
6183.Smp_007180.1,0.06381972896312638,0.009912855374888485,0.00011498859553881693,0.48833453686904676,0.510732184329544
6183.Smp_165720.1,0.019855026788528206,0.0013971470075015934,2.0793308417187093e-05,0.4192781059313969,0.5024761904761905
6183.Smp_018620.1,0.058619602899464225,0.007577695218849976,0.00038800393072127657,0.49698304445719854,0.26877372982059533
6183.Smp_058080.1,0.06255909234163252,0.010523623143820241,4.348903760745211e-05,0.4922384841911138,0.38939775589649644
6183.Smp_134060.1,0.07028049164828237,0.01038611087826142,4.960018348978646e-05,0.48840975204607706,0.4802337884818864
6183.Smp_155720.1,0.28080680743775605,0.042102063759601197,0.0017404687830886824,0.5733141050730709,0.23937106418858245
6183.Smp_012350.2,0.0069335014182161986,0.0004672201093095572,4.864189736603139e-06,0.42223705927551997,0.17758985200845667
6183.Smp_010260.1,0.03876457611093602,0.006287400648897827,1.568807767544692e-05,0.46863227889738496,0.6064376970300315
6183.Smp_054230.1,0.00047273873306019534,1.7553831349143487e-05,4.0484330959615034e-08,0.32895900359553454,0.3333333333333333
6183.Smp_057530.1,0.02647336905137094,0.0036479152948851795,7.949049357460659e-05,0.47307180593154635,0.30474764756201883
6183.Smp_166780.1,0.015285219035612984,0.002985535640336426,2.2577329543309297e-06,0.4348601639000487,0.5401632302405498
6183.Smp_155070.1,0.015442798613299715,0.002182035163711483,4.36778996305154e-06,0.42701323931580326,0.34883231643172735
6183.Smp_079490.1,0.13788213047589032,0.016454398629881104,0.0002842585764922013,0.5184761797186324,0.3092304674730304
6183.Smp_161220.1,0.04160100850929719,0.005560766574315816,4.0734021164688044e-05,0.47303652049812117,0.4694665284018896
6183.Smp_163180.1,0.020327765521588402,0.004086200085658078,6.4003940605258395e-06,0.4530971372664364,0.3318798449612403
6183.Smp_158450.2,0.07264418531358335,0.014114224005098722,0.00010216635300422211,0.4972558123191399,0.4569933037819485
6183.Smp_091230.1,0.012763945792625275,0.0018114315155394434,0.00036646815917741084,0.44346553599876304,0.3756172839506173
6183.Smp_026510.1,0.10542073747242356,0.02008755371972681,0.0004556243904641364,0.510135185836415,0.4453917277552518
6183.Smp_197540.1,0.007563819728963125,0.000926962312208218,4.49459020320757e-06,0.4468400359556338,0.274822695035461
6183.Smp_031950.2,0.008351717617396785,0.0014295796908000604,3.8570126608017695e-06,0.4276467046741949,0.45718432510885343
6183.Smp_011980.1,0.05735896627797037,0.009397916752718161,2.7233667708086296e-05,0.47882224464464407,0.5281385281385281
6183.Smp_062080.1,0.053261897258115344,0.007642399562974131,0.00017238241329349397,0.48713423690900304,0.3247590118167612
6183.Smp_101990.1,0.03309171131421368,0.006603545511788103,2.8149388206793305e-05,0.45813773245093625,0.390248348143085
6183.Smp_016890.1,0.0001575795776867318,2.8704971814117035e-06,0.0,0.31473948537559854,0.0
6183.Smp_027000.1,0.041758588086983926,0.0070087469342817775,5.945503346185043e-05,0.4853076699049825,0.388650657518582
