Protein_key,DegreeCentrality,EigenvectorCentrality,BetweennessCentrality,ClosenessCentrality,Clustering,is_essential
4932.YKL128C,0.0022999835715459176,0.000628793025617804,1.1425602945529114e-06,0.39533376598025366,0.1978021978021978,0
4932.YML066C,0.004764251683916544,0.0008231741833760898,1.4859012115700132e-05,0.40157120789134954,0.27586206896551724,0
4932.YGR086C,0.031049778215869888,0.007485934943735913,0.00020798411491268213,0.4885159538337747,0.1461780929866036,0
4932.YCR089W,0.004435682602267127,0.0010151113973751434,2.2685379979480068e-05,0.45206604170170656,0.2022792022792023,0
4932.YKL078W,0.08197798587152949,0.028307788951840943,0.00031900662205786376,0.504729560001507,0.29711632099540447,1
4932.YJL212C,0.004271398061442418,0.0009552724113639667,5.509943468711924e-06,0.44886368485376055,0.19384615384615383,0
4932.YOL047C,0.002135699030721209,0.0005043122668000673,1.1481738546183947e-05,0.42228397481000784,0.1794871794871795,0
4932.YLR304C,0.07721373418761295,0.017733431121995973,0.0005785971243570739,0.4980350955574065,0.19814907226784012,0
4932.YGL244W,0.04813537046163956,0.013683848381149272,0.00012616644264950075,0.4874589836636079,0.2899153770629763,0
4932.YDL176W,0.0024642681123706258,0.0005027602813644154,2.539938050266869e-06,0.43562021320095695,0.18095238095238095,0
4932.YJR162C,0.0001642845408247084,3.264991488707051e-05,0.0,0.3280660477369304,0.0,0
4932.YCL009C,0.011007064235255463,0.002831644249209047,3.030133523804293e-05,0.463043362802631,0.2537313432835821,0
4932.YGL133W,0.08329226219812716,0.027003869424187404,0.0002585581631513324,0.50281043619922,0.324235407847448,0
4932.YDR028C,0.02168555938886151,0.006184635121742422,5.621193553905559e-05,0.4757175770030628,0.2640527411519778,0
4932.YAL021C,0.04353540331854772,0.012559485595625404,0.0001559155839720692,0.49227164013418817,0.20011435105774728,0
4932.YIL146C,0.004764251683916544,0.0009929163040791112,5.306337130964797e-06,0.4252062531202407,0.20935960591133004,0
4932.YPR203W,0.0004928536224741252,0.0003101468049647239,1.2584709947468807e-08,0.4106805736658225,0.3333333333333333,0
4932.YGL116W,0.10021356990307212,0.02953626531249831,0.0005717792394966912,0.504771442796296,0.24792591994400925,1
4932.YPL084W,0.03088549367504518,0.007998475727908754,0.00012206885655781892,0.4774351037703605,0.1990556377289794,0
4932.YDR184C,0.005914243469689502,0.0018996695835735578,1.8268376681185533e-05,0.4443714410941751,0.24126984126984127,0
4932.YIL140W,0.008542796122884836,0.0018822576670923373,1.2502365663774435e-05,0.45816077857484094,0.3514328808446455,0
4932.YDL113C,0.020042713980614423,0.0038704765961156957,7.631994542049243e-05,0.469947516775198,0.21081154315133452,0
4932.YGR089W,0.014949893215048464,0.003121688113318194,2.4824037589736247e-05,0.4747522560788389,0.2754578754578755,0
4932.YER040W,0.06702809265648102,0.018571743193289764,0.0005516180059217342,0.49779056114060255,0.24819338054632173,0
4932.YOL019W,0.0026285526531953343,0.0007770056362308727,7.477237949091324e-07,0.4359323962403729,0.35833333333333334,0
4932.YOR270C,0.042221126991950055,0.008171895015429602,0.0002856471925088473,0.48843750258054947,0.16704158560311283,0
4932.YMR087W,0.0006571381632988336,0.00023745441389214685,1.829683833338393e-07,0.3940277663646951,0.3333333333333333,0
4932.YNL263C,0.008707080663709545,0.0013408129228109746,1.8384180555193205e-05,0.43765743270294,0.2728592162554427,1
4932.YJL222W-A,0.0003285690816494168,1.5118975458601885e-05,2.8920798598099235e-08,0.3201242320354785,0.0,0
4932.YNL276C,0.0003285690816494168,4.562307468404434e-05,8.355753429902832e-09,0.3343226522197396,0.0,0
4932.YER117W,0.07507803515689174,0.028113809213965522,8.412362534291679e-05,0.47360640432405504,0.4755364889247188,0
4932.YOR183W,0.0014785608674223755,0.00040939455647786167,7.046109801512798e-07,0.38846673843401003,0.16666666666666666,0
4932.YDR529C,0.019057006735666175,0.0027744700408095023,9.693231293439382e-05,0.4619883540015313,0.2902548725637181,0
4932.YDR415C,0.00509282076556596,0.0014036105017156309,1.3033490569055354e-05,0.4332621550668207,0.16344086021505377,0
4932.YMR039C,0.02480696566453097,0.007154524070965877,4.3165494814512746e-05,0.48094565600396605,0.24821192052980132,0
4932.YBL030C,0.06719237719730574,0.019699854842733035,0.0004887420817297236,0.4919929357115952,0.21344503571599788,1
4932.YGL095C,0.031214062756694597,0.006022677401373354,9.08848098425971e-05,0.4696572465363004,0.2857142857142857,0
4932.YIL041W,0.009692787908657796,0.0033551322285491803,9.07400514048103e-06,0.4636080067935495,0.2577440093512566,0
4932.YPR024W,0.054871036635452605,0.013093953731387772,0.0005460417534185324,0.491714546692924,0.17003830177482873,0
4932.YMR211W,0.004435682602267127,0.0015675446685844369,1.0349072053289383e-06,0.4044817246584323,0.4672364672364672,1
4932.YNL187W,0.0024642681123706258,0.0008171866672646403,3.920064839319084e-07,0.40421294817849446,0.5333333333333333,0
4932.YOR362C,0.07359947428946936,0.02645052554476256,0.0010526287171127523,0.5035596570478612,0.28852069351230425,1
4932.YLR428C,0.0001642845408247084,3.9508284601860316e-05,0.0,0.3272365730882868,0.0,0
4932.YOR017W,0.007721373418761295,0.0021280977383728947,1.966782399380007e-05,0.45426037317139595,0.18501387604070305,0
4932.YMR292W,0.018071299490717924,0.0035665049361641426,5.107941276356663e-05,0.46286719351226324,0.228023352793995,0
4932.YDL028C,0.03088549367504518,0.008081124774554431,0.00032386631104499946,0.4831612912738811,0.2805211059278644,1
4932.YNL332W,0.0034499753573188764,0.0002229052773605525,4.116799103249552e-06,0.35479735533030987,0.23809523809523808,0
4932.YLR051C,0.02792837194020043,0.010293959866633963,2.260913239928834e-05,0.4430767468233785,0.6416289592760182,1
