Protein_key,DegreeCentrality,EigenvectorCentrality,BetweennessCentrality,ClosenessCentrality,Clustering
7227.FBpp0112228,0.05090587715422006,0.019762691780138907,0.0001500298341750461,0.4448181596823653,0.20816425120772947
7227.FBpp0292805,0.000618647812638091,7.643379574806548e-05,0.0,0.30727442001283456,1.0
7227.FBpp0070949,0.0010605391073795845,0.0002295476344757641,5.180368040575708e-06,0.34116477492804065,0.10606060606060606
7227.FBpp0077151,0.007247017233760495,0.0015267620493689272,1.7229001536487606e-05,0.37630655475644387,0.3869316470942487
7227.FBpp0077011,0.10251878038002651,0.03882990140432391,0.0011293425199353393,0.48836475965301085,0.19740561125821904
7227.FBpp0079963,0.004153778170570039,0.0014232262230672724,3.6412152178126244e-06,0.40110127001210605,0.2488436632747456
7227.FBpp0081556,0.004684047724259832,0.0012471308010554493,1.0002515572849e-05,0.3937115252494601,0.19158200290275762
7227.FBpp0082276,0.05647370746796288,0.025433596588892247,0.00030799263278836613,0.4683645163024387,0.2791930965801777
7227.FBpp0079983,0.001590808661069377,0.00048465935952906084,6.16136271281133e-05,0.3428118563726775,0.33986928104575165
7227.FBpp0080364,0.000618647812638091,6.455952794449296e-05,6.094288904132746e-06,0.3199544737917758,0.38095238095238093
7227.FBpp0079880,0.051082633672116656,0.014548948977867265,0.00011935072180913057,0.4421535281590848,0.3696185375975245
7227.FBpp0292798,0.00017675651789659743,6.050132789510971e-07,4.023389553146671e-07,0.2653046638173623,0.0
7227.FBpp0071354,0.005214317277949625,0.0017796512269886756,0.00010266765667418104,0.3867890651419919,0.37405026300409117
7227.FBpp0075507,0.0002651347768448961,2.791277436679283e-05,3.2852233027541336e-07,0.31479246979541575,0.0
7227.FBpp0302921,0.12213875386654882,0.04137073255582391,0.002441314693233324,0.4958983214068519,0.169426714214306
7227.FBpp0072094,0.03932832523199293,0.009701873998971003,9.530652236712723e-05,0.4294760794513883,0.3626176738536289
7227.FBpp0080552,0.004684047724259832,0.0005564849912315062,6.235838795601272e-06,0.35820068399823174,0.6313497822931785
7227.FBpp0087663,0.012991604065399912,0.003277840615561503,1.024994368186276e-05,0.3850632764795654,0.5259528468921816
7227.FBpp0289090,0.012284577993813522,0.002578751841710038,9.42839320967832e-06,0.39491723128264344,0.18986549890522364
7227.FBpp0297254,0.0050375607600530265,0.0017435411174957169,0.00014573720869240738,0.37439777159142423,0.5908521303258145
7227.FBpp0077962,0.05709235528060097,0.026172401795054326,0.0002762194989304646,0.4670386988389234,0.29627762977896177
7227.FBpp0083769,0.023773751657092355,0.009013289841501102,7.017544451558197e-05,0.4245035235350796,0.3018365421960828
7227.FBpp0082810,0.013168360583296509,0.0017856376785307842,4.911257543354336e-05,0.411276206001269,0.2651913658625068
7227.FBpp0073058,0.011842686699072028,0.0038243940605331515,0.00022645927298767943,0.4030320660814246,0.34642576590730556
7227.FBpp0077974,0.04206805125939019,0.01621182949796693,0.00044699825803499164,0.4552509180128476,0.23356921716054843
7227.FBpp0085834,0.0005302695536897922,0.00013204699237279668,3.14144270982214e-08,0.3382334526231118,0.5333333333333333
7227.FBpp0099655,0.024304021210782147,0.0077734048673656925,0.00010908670653892615,0.4208095579126296,0.3485335102853351
7227.FBpp0078113,0.029164825452938577,0.01520509974939742,3.7060368291454524e-05,0.4448710743292207,0.2819563415308096
7227.FBpp0300615,0.05382235969951392,0.017621314624089328,0.00018036600896594767,0.45031723623298614,0.33182093163944343
7227.FBpp0086965,0.011400795404330534,0.002116173510849942,2.1468556156298035e-06,0.36573228659240503,0.8926841085271318
7227.FBpp0088920,0.01802916482545294,0.005568981992750947,8.576409504268497e-05,0.4220125493138468,0.21462378054670145
7227.FBpp0081879,0.0416261599646487,0.011924463391827803,8.580576210471773e-05,0.433140437939488,0.39541039887970364
7227.FBpp0088658,0.037295625276182055,0.014156694136623115,0.00019876583756830985,0.443832725037923,0.2366403620357758
7227.FBpp0081680,0.004595669465311533,0.00023737674895678878,7.88345004995115e-06,0.32389871307548407,0.004524886877828055
7227.FBpp0076588,0.051966416261599646,0.021665819211255693,0.00029554367832698285,0.4618286594289967,0.2555076545098448
7227.FBpp0071864,0.013610251878038002,0.00632334057919318,2.1426014010232435e-05,0.4154491251067809,0.3200067905950259
7227.FBpp0083500,0.007247017233760495,0.0015935019231044293,1.7700236985964493e-05,0.3920468121574105,0.13008130081300814
7227.FBpp0305749,0.0019443216968625717,8.142150397974383e-05,8.957893522010339e-05,0.3289510239696422,0.645021645021645
