Protein_key,DegreeCentrality,EigenvectorCentrality,BetweennessCentrality,ClosenessCentrality,Clustering,SubgraphCentrality,is_essential
4932.YLR363W-A,0.00469263256687,0.0006310208465642,3.0666895969495004e-06,0.4601266733841946,0.2735632183908046,2.0852339367418022e+247,0
4932.YMR194C-B,0.0076646331925543,0.000648560161035,6.534737081322061e-06,0.4524416135881104,0.4812925170068027,2.203064306610877e+247,0
4932.YML053C,0.0086031597059283,0.0011098931407296,3.7172280699898095e-06,0.4621223073586815,0.4101010101010101,6.449998638008615e+247,0
4932.YBL049W,0.0491162208665728,0.0062789391927638,0.0004083497576363,0.494852542766468,0.1526627459758653,2.0645446129791097e+249,0
4932.YJL218W,0.0545909588612545,0.006955801223335,0.0003314388779387,0.4917692307692308,0.1914336528011066,2.5338232972181817e+249,0
4932.YER157W,0.0358204285937744,0.0034467157959376,6.22589064543166e-05,0.4835854765506808,0.3086263694169923,6.219793657306168e+248,1
4932.YDR329C,0.0419208509307054,0.0048840260103834,0.0001419117714036,0.4863816189896531,0.1920174408854603,1.249047903258506e+249,0
4932.YFL036W,0.0639762239949945,0.0121266434646393,0.0002520135791848,0.5008225616921269,0.223896159930965,7.702911203381194e+249,0
4932.YIL094C,0.0990145471609573,0.0196727075193006,0.0002375785110463,0.5116037131882202,0.2608284840122383,2.02706821944058e+250,0
4932.YKR092C,0.1130924448615673,0.0266957039622506,0.0004566631481815,0.5182813133360357,0.3484557648762658,3.73342595186331e+250,0
4932.YBR033W,0.0087595807914906,0.001123820392146,8.096569230109222e-06,0.4735555555555555,0.2266233766233766,6.612439009011063e+247,0
4932.YPR091C,0.020647583294228,0.0023470526343963,3.3326276234529465e-05,0.47880467345716,0.1858662965533194,2.884505871980933e+248,0
4932.YLR344W,0.123259815423119,0.0329477126801976,0.0001462749779333,0.5207298199885966,0.4193686749785538,5.6870204666975774e+250,0
4932.YOR366W,0.0001564210855623,4.085926772524039e-06,0.0,0.3247980490778844,0.0,8.741905607708329e+242,0
4932.YER164W,0.1324886594712967,0.0236735584654039,0.0003674498862555,0.5223465969441948,0.2579455790287511,2.934795908394232e+250,0
4932.YDR208W,0.0866572814015329,0.0145329132084943,0.0002523091884541,0.5084300938444409,0.2342131204261625,1.1059662923332171e+250,1
4932.YIR011C,0.0073517910214296,0.0012529311472606,2.900373519865282e-06,0.4364716324161944,0.3006475485661424,8.22043418500972e+247,1
4932.YOL055C,0.0303456905990927,0.0044109608255043,4.101641092457532e-05,0.4824541544034412,0.2674536616633727,1.0189805098455771e+249,0
4932.YBR169C,0.1695604567495698,0.0335074309650864,0.0008421805436595,0.5356065683646113,0.2232046420187193,5.880174325050935e+250,0
4932.YML011C,0.0076646331925543,0.001233115013114,2.0638499543416935e-05,0.4520577004666949,0.4421768707482993,7.962290397196978e+247,0
4932.YIL130W,0.021586109807602,0.0024431478377369,3.730491150387565e-05,0.4841347974252177,0.2006770337459007,3.125453431574299e+248,0
4932.YKL058W,0.0428593774440794,0.0071353410757667,5.93484501822137e-05,0.4916557717449819,0.2505280607470388,2.6665527292894712e+249,1
4932.YBR126W-A,0.0109494759893633,0.0009956447404426,3.358835949470484e-05,0.4245583742860938,0.3908902691511387,5.192446043976097e+247,0
4932.YDR364C,0.0575629594869388,0.0101802946763494,0.0001370927650567,0.4952358819428306,0.2642015164080085,5.428340767641962e+249,0
4932.YHR214C-B,0.0067261066791803,0.0011324819126928,1.642674568262675e-07,0.4400468061674009,0.4839424141749723,6.713336809878596e+247,0
4932.YLR155C,0.029094321914594,0.0029253513949169,9.09539674262876e-05,0.4842814938262252,0.1836094158674804,4.481285853103377e+248,0
4932.YOR154W,0.0342562177381511,0.0046427756796261,0.0001313472726086,0.4890980032132201,0.1489254744250345,1.1289656849844506e+249,0
4932.YNL306W,0.0955732832785859,0.0245190146943555,0.0001183389849867,0.5093618038403315,0.4447049985243219,3.1496241102072953e+250,1
