Protein_key,DegreeCentrality,EigenvectorCentrality,BetweennessCentrality,ClosenessCentrality,Clustering,is_essential
6239.F57H12.6,0.0001515266308053,7.619992650319207e-06,8.073562278909483e-09,0.301094046227749,0.0,0
6239.B0001.2,0.0003030532616107,3.1527368478121874e-05,1.851042874123587e-07,0.339938330475976,0.5,0
6239.C33B4.3c,0.1741040987953633,0.0379540557987871,0.0028225509451584,0.5141752585567898,0.2264072447772153,0
6239.F56H9.5,0.0009091597848321,0.0002727753447086,6.949174612904685e-08,0.3707708873119048,0.3939393939393939,0
6239.F52A8.5.2,0.0115160239412076,0.0014931283284789,1.2833846009400282e-05,0.3994885103041289,0.2131404670616939,0
6239.ZC455.11,7.576331540268203e-05,1.4907474672665989e-07,0.0,0.2656417335920693,0.0,0
6239.F08C6.1a.2,0.0089400712175164,0.0010078133638426,2.947595046661107e-05,0.3972328148815076,0.2186006084311169,0
6239.E02C12.6,7.576331540268203e-05,8.08342488727661e-06,0.0,0.2986749025361609,0.0,0
6239.K03D10.3,0.0687930903856352,0.0175615882714301,0.0002159437708122,0.4609266319705429,0.3979620086551491,0
6239.F25H5.4a.1,0.10197742253201,0.013321261185649,0.0010126356060662,0.4829038696169961,0.1907256527671139,0
6239.T21C9.6,0.0095461777407379,0.0009218627311564,3.585107086832136e-05,0.3896389886255469,0.2195555555555555,0
6239.Y5H2A.2,0.0886430790211379,0.0249490730335336,6.791653582574669e-05,0.4751187740100848,0.2735744627960196,0
6239.K08E4.1,0.0529585574664747,0.0089925643364741,9.843591595906694e-05,0.4417557190848298,0.2734237613291194,0
6239.C31E10.7.2,0.0204560951587241,0.0027898172568053,6.315130708228594e-05,0.4278741140217038,0.1767864518793886,0
6239.F46G10.7c,0.065989847715736,0.0151909028763072,0.000304795081234,0.4656505517601417,0.2874407801839608,0
6239.F49E2.4b,0.0046973255549662,0.0008552476120053,9.695045999256876e-07,0.3928795458779722,0.1924907456372289,0
6239.C54C6.2,0.0691719069626486,0.0170914684486516,0.0001583506901447,0.4684846999753587,0.2759074575815222,0
6239.F55C5.3b.1,0.0019698462004697,0.0002235568815196,3.1500177292650795e-05,0.3674495564576042,0.4646153846153846,0
6239.C06H2.4,0.000454579892416,3.7502788055131176e-05,5.0155616065154846e-08,0.3371877793957725,0.2,0
6239.ZK507.6,0.0815213273732858,0.0198167157159191,0.0006603762023847,0.4716763807588401,0.3163361286418258,0
6239.D1054.1,0.0075005682248655,0.00061626317871,3.197457301947504e-05,0.4116151668767456,0.2931354359925788,0
6239.T19A5.4,0.0906129252216077,0.0252256386386393,8.428456335979505e-05,0.4759829091343255,0.2693511145939743,0
6239.Y75B7B.2,0.0320478824153344,0.0074759161663198,2.7754845443156783e-05,0.437970551093207,0.3992134718160734,0
6239.Y71G12B.28,0.0012879763618455,0.0002387870556876,5.210496632702474e-08,0.3678524163671355,0.5220588235294118,0
6239.F45F2.4,0.0496249715887567,0.0104966797228334,2.929265282746777e-05,0.4424428116656549,0.4098046081658379,0
6239.ZK836.2a,0.016440639442382,0.0012770073437081,2.159319532009332e-05,0.415866713968274,0.3285116914149172,0
6239.F41G4.1,0.0022728994620804,0.0003179249307959,7.550032697159453e-06,0.3822183775379507,0.2183908045977011,0
6239.C42C1.11a,0.0327297522539586,0.0070455879140879,0.0001111583878765,0.438029195427702,0.3208301108533127,0
6239.F46F11.7,0.0042427456625501,0.0008730642702114,5.806095635887692e-07,0.3915159522174539,0.4837662337662338,0
6239.C01F1.5,7.576331540268203e-05,1.7167701847638768e-07,0.0,0.2730473082864542,0.0,0
6239.W01D2.1.1,0.0276536101219789,0.0035134260540626,4.451987331739529e-05,0.4313580403827837,0.410943850669878,0
6239.T09B4.2.1,0.001666792938859,0.0002478789031798,0.0001534359141253,0.3735546591399053,0.1558441558441558,0
6239.C52E2.1,0.0007576331540268,0.0001521532102776,4.271595382164419e-08,0.3541338607580986,0.4,0
6239.W05F2.2,0.0001515266308053,5.940461309384391e-07,0.0001508722121089,0.2733724596793495,0.0,0
6239.C16C8.16,7.576331540268203e-05,1.3793267861922614e-05,0.0,0.3151932110083522,0.0,0
6239.F56C3.9,0.0001515266308053,2.3266607767066365e-06,3.350260710206177e-07,0.2957385109391073,0.0,0
6239.C48D1.1a,0.0043942722933555,0.0002564733745507,9.853454880227828e-07,0.3647048734639132,0.7078039927404719,0
6239.F13H8.4,0.0078036214864762,0.0010017285631183,1.1844487940407563e-05,0.3919498623636886,0.2533790215115172,0
6239.C07A4.2,0.0037124024547314,0.000317781448571,1.913102914419089e-06,0.3866341494803139,0.7049319727891157,0
6239.F56C3.6,0.0197742253201,0.0058300464357299,1.2349579970500177e-05,0.4194123579285151,0.6199823165340407,0
6239.R07H5.8,0.024774604136677,0.0029585136437609,0.0001385398778989,0.430435728783281,0.1779141104294478,0
6239.Y54E10A.4b,0.0117433138874157,0.0013429751755645,7.663571160827633e-06,0.4129792064071877,0.3233347297863427,0
6239.Y60A3A.14,0.0058337752860065,0.0006914650138937,1.8308369610198453e-05,0.3877684443624757,0.1954887218045112,0
6239.F53B7.2a,0.0379574210167436,0.0098428272974553,2.5723477544570945e-05,0.4472823843791401,0.3723832335329341,0
6239.T01G6.8,0.0890218955981513,0.0249880532073515,8.525039051011109e-05,0.4752568247198541,0.2726013991083403,0
6239.R06F6.4,0.0736419425714069,0.0174296111491945,0.0003931173822871,0.4627195500198643,0.3325556360800668,0
6239.C45B2.1,0.0003788165770134,3.546566892975266e-05,1.236927304232612e-06,0.3338754377171806,0.2,0
6239.F01G10.6,7.576331540268203e-05,4.064780273009898e-06,0.0,0.3128346121022221,0.0,0
6239.E02H4.6,0.03333585877718,0.0082329060347757,3.399425687113072e-05,0.4476189975374318,0.3010147028370263,0
6239.R07E3.7,7.576331540268203e-05,8.561295699791069e-07,0.0,0.2944607352943819,0.0,0
6239.C15F1.1,0.0003788165770134,3.353216847991151e-05,1.6640616719581409e-06,0.3342848496579743,0.1,0
6239.M6.11,0.0037881657701341,0.0014267082799377,1.669428813290571e-07,0.3691183682654935,0.4555102040816327,0
6239.F49C12.11,0.0012879763618455,0.0002655529193635,5.602768306600846e-07,0.3670784681743693,0.25,0
6239.ZK809.5b,0.0001515266308053,5.313053536789719e-05,1.9932478513430184e-11,0.3273766863900862,0.0,0
6239.K08E7.1.1,0.0015910296234563,0.0001419611071836,8.092054216846765e-05,0.3800867387519024,0.1333333333333333,0
6239.F15A8.6,0.0062125918630199,0.0007251660068484,7.301524812564673e-06,0.4003563258784648,0.3324299909665763,0
6239.F53B7.3.1,0.0231835745132207,0.003321088382806,5.704387706995703e-05,0.4277622149399066,0.4598949962498661,0
6239.C35A5.8,0.0312144859459049,0.0040408558406216,0.0004254943242512,0.4394709036108059,0.1329931731745919,0
6239.ZC513.3,0.0003030532616107,2.898690705662156e-05,0.0,0.3279510314539284,1.0,0
6239.F54C8.6b,0.000454579892416,7.112813540465849e-05,4.095610366291085e-07,0.349405771829419,0.2666666666666666,0
6239.M03A8.1,0.0494734449579513,0.0107779774888865,7.278381651390419e-05,0.440506519273245,0.3362395362602053,0
6239.T24E12.4,7.576331540268203e-05,1.3655631626317382e-06,0.0,0.288297482925261,0.0,0
6239.F49E10.1,0.0187135389044624,0.004636474078304,6.628047573458958e-06,0.4243221400548591,0.5027155129850893,0
6239.C45B11.6,0.01666792938859,0.0016132289504835,3.539558761991327e-05,0.4230189815088011,0.2004151100041511,0
6239.F28B12.2a,0.0277293734373816,0.0084127568178777,3.5049549415758165e-05,0.4432971798567567,0.4589864510816678,0
6239.Y45G12C.3,0.0012122130464429,0.0002045789474436,1.1671001703092485e-07,0.3616207311043732,0.45,0
6239.C26B9.5,0.000454579892416,5.604702543869626e-05,2.3079415797362546e-08,0.3331528924055234,0.4,0
6239.F48D6.4a,7.576331540268203e-05,5.5613133462793925e-06,0.0,0.2950450091321701,0.0,0
6239.F52E1.2,0.0109099174179862,0.002326598582313,3.913151879536128e-07,0.397534516800697,0.4014180264180264,0
6239.Y110A2AL.12a,0.0023486627774831,0.0001055164820595,5.434555226515147e-06,0.380905485838551,0.2580645161290322,0
6239.T15B12.1b,0.0728843094173801,0.0181639152544603,0.000192251497609,0.4666802009704962,0.3399503722084367,0
6239.M03F4.3b,0.041442533525267,0.010515477880322,5.618043324350481e-05,0.4438234289255416,0.3605949200099109,0
6239.F35G12.4c,0.0217440715205697,0.0047888613947873,2.0844647526221945e-05,0.4370051816789147,0.2887356545893131,0
6239.Y46H3D.3,7.576331540268203e-05,1.5537937585341312e-05,0.0,0.3140132503422462,0.0,0
6239.F56D5.5,7.576331540268203e-05,3.3094189680722424e-06,0.0,0.2952647100438149,0.0,0
6239.C09H10.6,0.0153041897113417,0.0028166778384488,9.839967330837497e-06,0.4113305090849913,0.4279592138318309,0
6239.C56G2.1a,0.0077278581710735,0.0015241500635916,2.585303541666228e-06,0.404890344545199,0.2094738885653271,0
6239.C05B10.1,0.080990984165467,0.0229900206467212,0.0001283253711041,0.4701004546438564,0.3817772218777043,0
6239.C17C3.20,0.0006818698386241,0.0001243073409681,9.053751826170445e-08,0.3507920796475187,0.4722222222222222,0
6239.F26F2.3,0.0003788165770134,1.6126371448043528e-05,1.2563451982242054e-06,0.3251719926197595,0.1,0
6239.ZC239.2,0.0009849231002348,0.0001676010692927,5.016313557497543e-08,0.3560998790347723,0.3333333333333333,0
6239.E01A2.4.1,0.0153041897113417,0.0020813740483536,1.200690501066528e-05,0.4113175794490222,0.516279986207576,0
6239.C01G12.8,0.0425789832563072,0.0079951699153447,0.000151215499188,0.4419049054409423,0.3221750686686839,0
6239.C29H12.3a,0.0407606636866429,0.0098187505244132,3.373896831991452e-05,0.4391464293389181,0.3662367690529099,0
6239.K02D7.4,0.0059095386014091,0.0010593648011952,1.2539135306461315e-05,0.3998791722950752,0.2537462537462537,0
6239.Y39B6A.20.1,0.0402303204788241,0.0083713803543667,0.0002668460459029,0.4474047305710584,0.1658529652133745,0
6239.Y62E10A.11b.3,0.0026517160390938,0.0002619597028505,1.5358230478572169e-06,0.3713285324501758,0.4689075630252101,0
6239.F56F3.4,0.0150768997651337,0.0049385133306646,8.934618220040562e-06,0.4236352679037731,0.4380995888533577,0
6239.Y6D11A.2,0.016895219334798,0.0036473779304027,1.6912273175457044e-05,0.4228822724044774,0.3757928331919363,0
6239.F40H7.2,0.000227289946208,2.397895280265113e-05,1.3478407095105875e-09,0.3296696098713026,0.6666666666666666,0
6239.F17E9.10,0.0688688537010379,0.0129441627311986,0.0001502769370235,0.4630634211554867,0.3171418463432246,0
6239.F54G8.1,0.000227289946208,5.941389982088878e-05,1.6952939352756086e-08,0.3344813822502426,0.0,0
6239.C49G7.5,0.000227289946208,6.280677151249778e-05,0.0,0.3364854493677161,1.0,0
6239.H12I19.4,0.0013637396772482,0.0001696583745086,5.304569533510981e-06,0.3626932245415972,0.2941176470588235,0
6239.C55B6.5,0.018107432381241,0.0053422641007086,4.041432292859849e-06,0.4270502318792384,0.326781758728596,0
6239.W10C8.6,0.002121372831275,0.0006765620487178,4.6115059778067745e-08,0.3727140866757361,0.6851851851851852,0
6239.R12G8.2,0.0008333964694295,0.0001921009449782,5.949690762531095e-05,0.3584213365566929,0.3636363636363636,0
6239.Y95B8A.8,0.0212894916281536,0.0029311167244877,2.0067094656739352e-05,0.4244597818545395,0.3587442806304016,0
6239.W10G11.14,0.0109856807333888,0.0021977377250277,1.418146162780135e-06,0.3909077539287729,0.3330459770114942,0
6239.C53C7.1a,0.0385635275399651,0.0098783221800017,6.5576619012985e-05,0.451713827499715,0.3668223937626657,0
6239.C36B1.1d,0.0060610652322145,0.0009533692626925,5.539301601515517e-06,0.3889787798754977,0.4503164556962025,0
6239.F59E10.1,0.0252291840290931,0.0052711082377123,2.362948501125969e-05,0.4319988826349205,0.4014978834255943,0
6239.B0564.7.1,0.0003030532616107,4.432039708006476e-05,9.97845486693307e-07,0.3442308198514125,0.5,0
6239.T07C4.10,0.0019698462004697,0.0002147125183949,1.4333865994825512e-05,0.3735120073933647,0.2892307692307692,0
6239.R09A1.5,0.0003030532616107,4.314774208855555e-05,4.77396074049957e-10,0.309556105959446,0.0,0
6239.F48G7.3,0.0895522388059701,0.0250554093243121,8.201998371883674e-05,0.475550449011911,0.2708522273848054,0
6239.T14G8.3a,0.0951587241457686,0.0205442553172579,0.0005708260043773,0.4808100736730386,0.2557933869617073,0
6239.Y37A1B.13,0.0040912190317448,0.0005330133251287,1.7101899277375972e-05,0.3999402822608883,0.4703004891684137,0
6239.C33H5.15,7.576331540268203e-05,1.7969299615361075e-06,0.0,0.2816999882674591,0.0,0
6239.Y49F6C.4,7.576331540268203e-05,3.4016727980473504e-05,0.0,0.3328647491799177,0.0,0
6239.ZC449.5,7.576331540268203e-05,5.643844763863143e-07,0.0,0.2850195198216455,0.0,0
6239.B0365.7,0.0204560951587241,0.004225444158436,1.5172632796206546e-05,0.4290948075098129,0.33696819496076,0
6239.F11A1.3a,0.1125842866883855,0.0276453530491288,0.0010837008603219,0.4907274012755201,0.2264747066900499,0
6239.Y108G3AL.7,0.0243200242442609,0.0058073859782573,1.779749976898846e-05,0.4381465312242338,0.4852998442367601,0
6239.C14A6.1,0.0136373967724827,0.0026523627004891,6.169220257098181e-06,0.4060462407686881,0.3439478584729981,0
6239.F40A3.5,0.1113720736419425,0.026564740752704,0.0004444661428494,0.4842979442248692,0.288884566760673,0
6239.Y38C1AA.2,0.0176528524888249,0.0033676193573535,2.2580443687577337e-05,0.4267438331217345,0.2882196240935326,0
6239.F58A6.1,0.0149253731343283,0.0014067545006115,9.15223916959064e-06,0.4001237242764194,0.3926240546980213,0
6239.C08B6.4b,0.005227668762785,0.0001230268984409,3.182713889162923e-05,0.3475404678497714,0.0997442455242966,0
6239.F49E11.1b,0.0747026289870444,0.016990298636746,0.0029387814709963,0.4718975136143295,0.2455596626888108,0
6239.C34D4.4a,0.002121372831275,0.000182355936071,1.042215739350972e-06,0.3536744190229672,0.3518518518518518,0
6239.T05A7.4.2,0.0005303432078187,6.48411871474908e-05,1.3211685730931435e-06,0.3520094196059437,0.0952380952380952,0
6239.Y73C8C.2,0.0100765209485567,0.0021660667933038,1.3209890425908238e-07,0.3908143526375886,0.3877876509455457,0
6239.K07C11.4,0.0071217516478521,0.0008186139648638,1.5934680528752566e-05,0.4052665434530396,0.3337908945321436,0
6239.F14F11.1h,0.0285627699068111,0.0031944584184296,5.823825932922686e-05,0.430435728783281,0.4078813702804899,0
6239.C29E4.1,0.010228047579362,0.0017117957458749,6.408269390616442e-06,0.3848715007797801,0.3213930348258706,0
6239.F20H11.1,0.0057580119706038,0.0012632110105498,9.184085365496568e-06,0.4064877187726924,0.303859649122807,0
6239.F42H10.5.2,0.0028032426698992,0.0006778634008616,8.671549869600023e-06,0.3984059845028542,0.2837837837837837,0
6239.W03G9.5,0.0346238351390256,0.0097011204854782,1.2718595004183531e-05,0.4393823630842397,0.3814445852048063,0
6239.F18E2.3,0.023107811197818,0.0053683098247469,8.192132034022573e-05,0.4354346329576967,0.3493528904227783,0
6239.T28D6.6a,0.0112129706795969,0.0015412622566889,1.62532608457177e-05,0.4124325071709189,0.2929766501195072,0
6239.ZK265.4,0.0522766876278506,0.0139970645098293,0.000309239434294,0.4518386103249912,0.3062072737216297,0
6239.F53C3.13b.1,0.0158345329191605,0.0007943472026526,7.54731990758521e-05,0.4035791307100436,0.1401361796098638,0
6239.Y54E10BR.6,0.0341692552466095,0.0049693670195133,0.0001153211025033,0.4367863727555826,0.2663710273466371,0
6239.D2024.2,0.0103795742101674,0.0007109667998771,0.000598303251793,0.4042399182889016,0.1422284242164019,0
6239.B0554.4,7.576331540268203e-05,3.867019867892816e-05,0.0,0.3371443407969634,0.0,0
