Orthogroup	Saccharomyces_cerevisiae.R64-1-1.pep.all	Schistossoma
OG0000394	YOR367W	6183.Smp_078690.1, 6183.Smp_126480.1, 6183.Smp_086330.1
OG0000395	YDR341C, YHR091C	6183.Smp_153430.1, 6183.Smp_133280.1
OG0000396	YGL190C	6183.Smp_173810.1, 6183.Smp_172910.1, 6183.Smp_118200.1
OG0000397	YKR051W	6183.Smp_126920.1, 6183.Smp_158190.1, 6183.Smp_076520.1
OG0000398	YKL092C	6183.Smp_155120.1, 6183.Smp_164680.1, 6183.Smp_144590.1
OG0000399	YHR110W, YGL002W, YAR002C-A	6183.Smp_072950.1
OG0000400	YDR313C	6183.Smp_063260.1, 6183.Smp_055130.1, 6183.Smp_144330.1
OG0000401	YNL148C	6183.Smp_149200.1, 6183.Smp_059130.1, 6183.Smp_055400.1
OG0000402	YDR242W	6183.Smp_004220.1, 6183.Smp_167750.1, 6183.Smp_124410.1
OG0000403	YGR058W	6183.Smp_136640.1, 6183.Smp_067490.1, 6183.Smp_067480.3
OG0000404	YFR019W	6183.Smp_156680.1, 6183.Smp_156700.1, 6183.Smp_199810.1
OG0000405	YDR126W	6183.Smp_201760.1, 6183.Smp_073070.1, 6183.Smp_146700.1
OG0000406	YFR048W, YDL001W, YDR282C	6183.Smp_084860.1
OG0000407	YNL084C	6183.Smp_156950.1, 6183.Smp_019100.1, 6183.Smp_065180.1
OG0000408	YOL068C, YDL042C	6183.Smp_055090.1, 6183.Smp_138640.1
OG0000409	YIL033C	6183.Smp_019280.1, 6183.Smp_079010.1, 6183.Smp_131050.1
OG0000410	YDR527W	6183.Smp_129590.1, 6183.Smp_158530.1, 6183.Smp_158540.1
OG0000411	YNL320W	6183.Smp_038830.1, 6183.Smp_027000.1, 6183.Smp_010280.1
OG0000412	YBL032W	6183.Smp_005860.1, 6183.Smp_155850.1, 6183.Smp_065580.3
OG0000413	YLR016C	6183.Smp_124110.1, 6183.Smp_157940.1, 6183.Smp_137380.1
OG0000414	YBR260C	6183.Smp_145770.1, 6183.Smp_173570.1, 6183.Smp_094890.1
OG0000480	YEL041W, YJR049C	6183.Smp_094870.1
OG0000482	YBL055C	6183.Smp_000810.2, 6183.Smp_147810.1
OG0000483	YCR031C, YJL191W	6183.Smp_053830.1
OG0000484	YDR523C	6183.Smp_081410.1, 6183.Smp_096640.1
OG0000486	YAL016W	6183.Smp_172280.1, 6183.Smp_153410.1
OG0000487	YDR018C, YBR042C	6183.Smp_095580.1
OG0000489	YCR052W, YNR023W	6183.Smp_134330.1
OG0000490	YJR105W	6183.Smp_008360.1, 6183.Smp_008400.1
OG0000491	YMR032W, YHL002W	6183.Smp_126520.1
OG0000492	YER056C-A, YIL052C	6183.Smp_211250.1
OG0000493	YBR031W, YDR012W	6183.Smp_153790.1
OG0000494	YEL054C, YDR418W	6183.Smp_012750.1
OG0000495	YLR025W, YDR486C	6183.Smp_045710.1
OG0000496	YER146W, YOR159C	6183.Smp_129760.1
OG0000497	YPL089C, YBR182C	6183.Smp_161530.1
OG0000501	YMR105C, YKL127W	6183.Smp_180530.1
OG0000502	YOL081W, YBR140C	6183.Smp_148460.1
OG0000503	YOR286W, YOR285W	6183.Smp_007450.2
OG0000504	YPR103W	6183.Smp_164840.1, 6183.Smp_017860.1
OG0000505	YKL139W	6183.Smp_094760.1, 6183.Smp_003000.1
OG0000506	YGL097W, YBR280C	6183.Smp_076530.1
OG0000507	YJL177W, YKL180W	6183.Smp_024850.1
OG0000508	YBR091C, YHR005C-A	6183.Smp_016130.1
OG0000510	YJL133W, YKR052C	6183.Smp_055190.1
OG0000512	YLR238W, YDR200C	6183.Smp_070920.1
OG0000513	YOL120C, YNL301C	6183.Smp_031570.1
OG0000514	YLR180W, YDR502C	6183.Smp_002080.1
OG0000515	YBR083W	6183.Smp_066050.1, 6183.Smp_141830.1
OG0000517	YPL198W, YGL076C	6183.Smp_101450.1
OG0000518	YKR094C, YIL148W	6183.Smp_089430.1
OG0000519	YDR214W, YNL281W	6183.Smp_083080.1
OG0000521	YDR358W, YHR108W	6183.Smp_174690.1
OG0000522	YBL079W, YER105C	6183.Smp_169330.1
OG0000523	YGL096W, YPL177C	6183.Smp_174150.1
OG0000524	YKL157W, YHR047C	6183.Smp_091470.1
OG0000526	YOL107W	6183.Smp_179060.1, 6183.Smp_002870.1
OG0000527	YML075C, YLR450W	6183.Smp_138590.1
OG0000528	YCL064C, YGL026C	6183.Smp_137330.1
OG0000532	YMR233W, YOR295W	6183.Smp_006830.1
OG0000533	YHR010W, YDR471W	6183.Smp_063350.1
OG0000534	YPL191C, YGL082W	6183.Smp_042990.1
OG0000535	YMR118C, YKL141W	6183.Smp_008310.1
OG0000536	YKR048C	6183.Smp_023530.1, 6183.Smp_155060.2
OG0000538	YLR170C	6183.Smp_060700.1, 6183.Smp_019990.1
OG0000540	YOR038C, YBL008W	6183.Smp_090070.1
OG0000542	YOL034W, YFR031C	6183.Smp_171710.1
OG0000543	YPL090C, YBR181C	6183.Smp_053130.1
OG0000547	YJR047C, YEL034W	6183.Smp_039400.1
OG0000548	YNL162W, YHR141C	6183.Smp_035790.1
OG0000549	YER144C, YDR069C	6183.Smp_152000.1
OG0000550	YIL044C	6183.Smp_021290.1, 6183.Smp_142850.1
OG0000551	YBL067C, YER098W	6183.Smp_000710.1
OG0000552	YLR310C	6183.Smp_176690.1, 6183.Smp_166070.1
OG0000553	YLR270W, YOR173W	6183.Smp_163300.1
OG0000554	YFR021W, YPL100W	6183.Smp_150510.1
OG0000556	YLR017W	6183.Smp_171620.1, 6183.Smp_028190.1
OG0000557	YGL189C, YER131W	6183.Smp_031310.1
OG0000559	YJR008W	6183.Smp_175570.1, 6183.Smp_097240.2
OG0000560	YIL133C, YNL069C	6183.Smp_090230.1
OG0000562	YJR145C, YHR203C	6183.Smp_011570.1
OG0000564	YIR001C	6183.Smp_007630.1, 6183.Smp_079490.1
OG0000565	YJR048W, YEL039C	6183.Smp_033400.1
OG0000566	YDL083C, YMR143W	6183.Smp_119920.1
OG0000567	YDR057W	6183.Smp_197920.1, 6183.Smp_149050.2
OG0000568	YGR095C, YGR195W	6183.Smp_012110.1
OG0000569	YAL062W, YOR375C	6183.Smp_093820.1
OG0000570	YGR038W, YLR350W	6183.Smp_210360.1
OG0000571	YPL213W	6183.Smp_162450.1, 6183.Smp_141280.1
OG0000575	YDR427W	6183.Smp_025690.1, 6183.Smp_178810.1
OG0000576	YLR045C	6183.Smp_176010.1, 6183.Smp_054790.2
OG0000578	YER177W, YDR099W	6183.Smp_034840.2
OG0000579	YGR188C, YJL013C	6183.Smp_210110.1
OG0000580	YDR287W, YHR046C	6183.Smp_095000.2
OG0000581	YPR074C, YBR117C	6183.Smp_059790.2
OG0000582	YIL149C, YKR095W	6183.Smp_160850.1
OG0000583	YDR448W	6183.Smp_004040.1, 6183.Smp_066720.1
OG0000584	YDR180W	6183.Smp_167860.1, 6183.Smp_017810.1
OG0000585	YPL106C, YBR169C	6183.Smp_069130.2
OG0000586	YKL100C	6183.Smp_154770.1, 6183.Smp_203140.1
OG0000589	YNL125C, YKL221W	6183.Smp_151010.1
OG0000591	YAL038W	6183.Smp_156360.1, 6183.Smp_065610.1
OG0000592	YGR152C	6183.Smp_142450.1, 6183.Smp_071250.1
OG0000593	YOR034C, YDR264C	6183.Smp_136530.1
OG0000594	YJR119C	6183.Smp_019170.1, 6183.Smp_156290.1
OG0000595	YPR080W, YBR118W	6183.Smp_099870.1
OG0000596	YPR102C, YGR085C	6183.Smp_050940.1
OG0000597	YCR011C	6183.Smp_137890.1, 6183.Smp_126450.1
OG0000598	YDR284C	6183.Smp_171720.1, 6183.Smp_085240.2
OG0000600	YDL234C	6183.Smp_130480.1, 6183.Smp_207030.1
OG0000601	YCL057W	6183.Smp_029500.1, 6183.Smp_029470.1
OG0000602	YOL092W, YBR147W	6183.Smp_210560.1
OG0000603	YBR189W, YPL081W	6183.Smp_180000.1
OG0000605	YLR271W	6183.Smp_083150.1, 6183.Smp_084540.2
OG0000607	YJL136C, YKR057W	6183.Smp_146190.1
OG0000608	YPL127C	6183.Smp_162370.1, 6183.Smp_003770.1
OG0000610	YIL106W	6183.Smp_070610.2, 6183.Smp_095470.1
OG0000611	YJL060W	6183.Smp_123750.1, 6183.Smp_093100.1
OG0000612	YBR010W, YNL031C	6183.Smp_082240.1
OG0000613	YOR346W	6183.Smp_146090.1, 6183.Smp_143760.1
OG0000617	YDL070W, YLR399C	6183.Smp_147950.1
OG0000618	YDL155W, YLR210W	6183.Smp_082490.1
OG0000619	YJR063W	6183.Smp_072800.1, 6183.Smp_078220.1
OG0000620	YML026C, YDR450W	6183.Smp_074780.1
OG0000621	YNR007C	6183.Smp_077400.1, 6183.Smp_044470.1
OG0000623	YBR084C-A, YBL027W	6183.Smp_171570.1
OG0000625	YKR003W, YHR001W	6183.Smp_156000.2
OG0000626	YKL140W	6183.Smp_146180.1, 6183.Smp_011000.1
OG0000627	YMR243C, YOR316C	6183.Smp_069170.1
OG0000628	YAR018C	6183.Smp_176970.1, 6183.Smp_177920.1
OG0000629	YDL082W, YMR142C	6183.Smp_022640.1
OG0000630	YLR406C, YDL075W	6183.Smp_050280.1
OG0000632	YDR339C	6183.Smp_083180.2, 6183.Smp_012540.1
OG0000633	YDR096W, YER169W	6183.Smp_132170.1
OG0000634	YIL031W, YPL020C	6183.Smp_033260.2
OG0000636	YGR091W	6183.Smp_161460.1, 6183.Smp_163030.1
OG0000639	YGL031C, YGR148C	6183.Smp_001830.1
OG0000640	YIL051C, YER057C	6183.Smp_151690.1
OG0000641	YHR204W	6183.Smp_174470.1, 6183.Smp_100120.1
OG0000643	YOR280C, YMR222C	6183.Smp_058880.1
OG0000644	YNL049C, YIL109C	6183.Smp_128740.1
OG0000645	YLR133W, YDR147W	6183.Smp_132570.1
OG0000646	YDL136W, YDL191W	6183.Smp_004940.1
OG0000647	YLR026C	6183.Smp_176270.1, 6183.Smp_015440.1
OG0000648	YKL203C, YJR066W	6183.Smp_122910.1
OG0000650	YPR043W, YJR094W-A	6183.Smp_105320.1
OG0000651	YLR328W, YGR010W	6183.Smp_123490.1
OG0000653	YOR133W, YDR385W	6183.Smp_143150.1
OG0000655	YBR048W, YDR025W	6183.Smp_032760.1
OG0000657	YHR021C, YKL156W	6183.Smp_041650.1
OG0000658	YGR096W	6183.Smp_058130.1, 6183.Smp_093630.2
OG0000659	YLR333C, YGR027C	6183.Smp_017450.1
OG0000660	YOL049W	6183.Smp_142960.1, 6183.Smp_017980.1
OG0000661	YNR034W, YCR073W-A	6183.Smp_081460.3
OG0000664	YFR045W, YBR291C	6183.Smp_149320.1
OG0000665	YNL223W	6183.Smp_039820.1, 6183.Smp_124830.1
OG0000666	YDL227C, YDL185W	6183.Smp_147050.1
OG0000667	YKL006W, YHL001W	6183.Smp_175740.2
OG0000668	YML063W, YLR441C	6183.Smp_073880.1
OG0000669	YNL178W	6183.Smp_027610.1, 6183.Smp_131450.1
OG0000670	YKR035W-A	6183.Smp_079000.1, 6183.Smp_055880.2
OG0000671	YFL008W, YLR383W	6183.Smp_136970.1
OG0000672	YOL013C	6183.Smp_157360.1, 6183.Smp_161580.1
OG0000673	YOR272W	6183.Smp_151390.2, 6183.Smp_040450.1
OG0000674	YER117W, YBL087C	6183.Smp_007900.1
OG0000675	YNL299W, YOL115W	6183.Smp_145600.1
OG0000676	YGR066C, YBR105C	6183.Smp_190020.1
OG0000677	YDR500C, YLR185W	6183.Smp_035800.1
OG0000678	YER120W, YBL091C-A	6183.Smp_136240.6
OG0000679	YPR154W, YGR136W	6183.Smp_173170.1
OG0000680	YBL047C	6183.Smp_171650.1, 6183.Smp_135790.1
OG0000681	YPL143W, YOR234C	6183.Smp_061200.1
OG0000682	YGR034W, YLR344W	6183.Smp_098960.1
OG0000684	YBR251W, YGL123W	6183.Smp_013470.2
OG0000685	YNL155W	6183.Smp_138890.2, 6183.Smp_026390.1
OG0000686	YIL006W, YEL006W	6183.Smp_044020.1
OG0000687	YDR447C, YML024W	6183.Smp_055050.1
OG0000688	YPR132W, YGR118W	6183.Smp_074470.1
OG0000689	YIL095W, YNL020C	6183.Smp_176750.1
OG0000690	YOR175C	6183.Smp_079860.2, 6183.Smp_173790.1
OG0000691	YGL253W, YFR053C	6183.Smp_043030.1
OG0000692	YNR019W, YCR048W	6183.Smp_127280.1
OG0000693	YDR334W	6183.Smp_128890.2, 6183.Smp_148830.1
OG0000694	YJL190C, YLR367W	6183.Smp_076740.1
OG0000695	YLR029C, YMR121C	6183.Smp_032260.1
OG0000697	YMR035W, YMR150C	6183.Smp_018430.1
OG0000699	YDR263C, YOR033C	6183.Smp_012480.1
OG0000700	YOR116C	6183.Smp_212320.1, 6183.Smp_157740.1
OG0000701	YLR136C, YDR151C	6183.Smp_087320.1
OG0000702	YJR057W	6183.Smp_001360.1, 6183.Smp_032810.1
OG0000703	YPL220W, YGL135W	6183.Smp_042090.1
OG0000706	YOR089C, YNL093W	6183.Smp_040570.1
OG0000707	YLR314C	6183.Smp_003620.1, 6183.Smp_060070.1
OG0000708	YLR209C	6183.Smp_090520.1, 6183.Smp_179110.1
OG0000709	YLR019W, YLL010C	6183.Smp_154650.1
OG0000710	YLR048W, YGR214W	6183.Smp_179180.1
OG0000711	YOR245C	6183.Smp_158520.1, 6183.Smp_158510.1
OG0000712	YBR296C	6183.Smp_116290.1, 6183.Smp_094660.1
OG0000714	YJR110W	6183.Smp_083540.1, 6183.Smp_012970.1
OG0000715	YML097C	6183.Smp_129990.1, 6183.Smp_145180.1
OG0000717	YBL040C	6183.Smp_154160.1, 6183.Smp_007730.1
OG0000719	YDL114W, YLR426W	6183.Smp_151030.1
OG0000720	YDR107C, YLR083C	6183.Smp_163130.1
OG0000721	YBL016W	6183.Smp_142050.1, 6183.Smp_047900.1
OG0000722	YCR057C	6183.Smp_126910.1, 6183.Smp_173580.1
OG0000723	YOR293W, YMR230W	6183.Smp_066890.1
OG0000724	YJL112W, YKR036C	6183.Smp_139250.1
OG0000725	YFR031C-A, YIL018W	6183.Smp_051260.1
OG0000727	YNR012W, YNL129W	6183.Smp_207070.1
OG0000729	YBR210W, YGL054C	6183.Smp_082990.1
OG0000730	YHR162W, YGR243W	6183.Smp_099420.1
OG0000731	YDR164C	6183.Smp_131870.1, 6183.Smp_146400.1
OG0000732	YBR109C	6183.Smp_026560.2, 6183.Smp_103000.1
OG0000733	YLR260W, YOR171C	6183.Smp_157100.1
OG0000734	YNL023C	6183.Smp_156040.1, 6183.Smp_156020.1
OG0000735	YJR031C, YEL022W	6183.Smp_101280.1
OG0000736	YML121W	6183.Smp_152790.1, 6183.Smp_202170.1
OG0000739	YHR123W, YNL130C	6183.Smp_135260.1
OG0000740	YBR202W	6183.Smp_161880.1, 6183.Smp_032500.1
OG0000741	YKL218C, YER086W	6183.Smp_137520.1
OG0000742	YBL072C, YER102W	6183.Smp_054780.1
OG0000744	YGR256W, YHR183W	6183.Smp_071840.1
OG0000745	YKR043C, YKL152C	6183.Smp_096760.1
OG0000746	YOR022C	6183.Smp_210300.1, 6183.Smp_141150.1
OG0000747	YNL202W	6183.Smp_042680.1, 6183.Smp_212250.1
OG0000748	YGR123C	6183.Smp_090860.1, 6183.Smp_139860.1
OG0000749	YDL030W	6183.Smp_003630.1, 6183.Smp_161960.1
OG0000750	YJL105W, YKR029C	6183.Smp_169930.1
OG0000751	YBR020W, YDR009W	6183.Smp_078400.1
OG0000752	YKL033W-A	6183.Smp_178890.1, 6183.Smp_042390.1
OG0000753	YPL037C, YDR252W	6183.Smp_002180.1
OG0000754	YKL010C	6183.Smp_152780.1, 6183.Smp_172420.1
OG0000755	YMR116C	6183.Smp_187870.1, 6183.Smp_102040.1
OG0000756	YGR184C, YLR024C	6183.Smp_176060.1
OG0000757	YOR219C, YHR028C	6183.Smp_057530.1
OG0000758	YLR287C-A, YOR182C	6183.Smp_014650.1
OG0000759	YDR226W	6183.Smp_061940.1, 6183.Smp_158730.1
OG0000760	YLR298C	6183.Smp_113660.1, 6183.Smp_091300.1
OG0000761	YDL081C, YDL130W	6183.Smp_041980.1
OG0000762	YER136W	6183.Smp_024520.1, 6183.Smp_094420.1
OG0000763	YMR042W, YMR043W	6183.Smp_097730.1
OG0000764	YJR078W	6183.Smp_133890.1, 6183.Smp_133900.1
OG0000765	YFL037W	6183.Smp_192110.1, 6183.Smp_078040.1
OG0000767	YLR061W, YFL034C-A	6183.Smp_085300.1
OG0000768	YDR481C	6183.Smp_145290.1, 6183.Smp_155890.1
OG0000769	YGL195W	6183.Smp_075950.1, 6183.Smp_134860.1
OG0000770	YMR029C	6183.Smp_141040.1, 6183.Smp_166080.2
OG0000771	YLR284C, YOR180C	6183.Smp_078280.1
OG0000772	YKL056C	6183.Smp_054240.1, 6183.Smp_122680.1
OG0000773	YLL045C, YHL033C	6183.Smp_210310.1
OG0000774	YLL019C	6183.Smp_134560.1, 6183.Smp_058620.1
OG0000775	YNL138W	6183.Smp_161550.1, 6183.Smp_014010.1
OG0000776	YOL121C, YNL302C	6183.Smp_174950.1
OG0000777	YMR102C, YKL121W	6183.Smp_171200.1
OG0000778	YNL101W, YKL146W	6183.Smp_029360.1
OG0000779	YGR233C, YPL110C	6183.Smp_162910.1
OG0000780	YPL249C-A, YMR194W	6183.Smp_063300.1
OG0000781	YPR160W	6183.Smp_143840.1, 6183.Smp_039750.1
OG0000782	YLR442C, YML065W	6183.Smp_180380.1
OG0000783	YLR178C, YLR179C	6183.Smp_050700.1
OG0000784	YFR028C	6183.Smp_171590.1, 6183.Smp_059290.1
OG0000785	YNL204C, YDL226C	6183.Smp_152370.1
OG0000786	YDR314C, YER162C	6183.Smp_021550.1
OG0000787	YBL102W	6183.Smp_067780.1, 6183.Smp_002100.1
OG0000788	YIL069C, YER074W	6183.Smp_091640.1
OG0000789	YNL096C, YOR096W	6183.Smp_021140.1
OG0000790	YLR351C	6183.Smp_056890.1, 6183.Smp_152710.2
OG0000791	YBR235W	6183.Smp_165670.1, 6183.Smp_153480.1
OG0000792	YPL268W	6183.Smp_100010.1, 6183.Smp_146330.1
OG0000793	YOR109W, YNL106C	6183.Smp_159670.1
OG0000794	YLR387C, YBR267W	6183.Smp_163430.1
OG0000795	YDR098C, YER174C	6183.Smp_006550.1
OG0000796	YLR422W	6183.Smp_176770.1, 6183.Smp_211000.1
OG0000797	YJL035C	6183.Smp_053790.1, 6183.Smp_053780.1
OG0000798	YIR009W	6183.Smp_069880.1, 6183.Smp_069870.1
OG0000799	YBR037C, YBR024W	6183.Smp_034700.3
OG0000800	YPL203W	6183.Smp_152330.1, 6183.Smp_164380.1
OG0000801	YLR208W	6183.Smp_090870.1, 6183.Smp_137210.1
OG0000802	YOR136W	6183.Smp_196160.1, 6183.Smp_203680.1
OG0000803	YDR006C	6183.Smp_203220.1, 6183.Smp_131420.1
OG0000804	YNL274C	6183.Smp_211270.1, 6183.Smp_150110.1
OG0000805	YNR035C	6183.Smp_127830.1, 6183.Smp_010690.1
OG0000806	YDR139C	6183.Smp_125770.2, 6183.Smp_130170.1
OG0000807	YLR038C	6183.Smp_144000.1, 6183.Smp_144010.1
OG0000808	YOL123W	6183.Smp_131640.1, 6183.Smp_154730.1
OG0000809	YBR191W, YPL079W	6183.Smp_022560.2
OG0000810	YJL141C	6183.Smp_150860.1, 6183.Smp_141230.1
OG0000811	YCR023C	6183.Smp_054640.1, 6183.Smp_198280.1
OG0000812	YDR167W	6183.Smp_130430.1, 6183.Smp_205840.1
OG0000813	YPR107C	6183.Smp_037380.1, 6183.Smp_095670.1
OG0000814	YLR222C	6183.Smp_050470.1, 6183.Smp_144870.1
OG0000815	YAL058W	6183.Smp_043150.1, 6183.Smp_030370.1
OG0000816	YBL049W	6183.Smp_200020.1, 6183.Smp_152180.1
OG0000817	YJL097W	6183.Smp_022700.2, 6183.Smp_121880.1
OG0000818	YDR411C	6183.Smp_059350.2, 6183.Smp_019880.1
OG0000819	YGL006W	6183.Smp_199210.1, 6183.Smp_137170.1
OG0000820	YJL102W	6183.Smp_165840.1, 6183.Smp_165720.1
OG0000821	YJL128C	6183.Smp_151670.1, 6183.Smp_026510.1
OG0000822	YKL029C	6183.Smp_128360.1, 6183.Smp_134440.2
OG0000962	YMR027W	6183.Smp_049140.1
OG0000963	YNR017W	6183.Smp_080980.1
OG0000964	YMR290C	6183.Smp_094020.1
OG0000965	YMR139W	6183.Smp_008260.1
OG0000970	YLR128W	6183.Smp_105330.1
OG0000971	YNL288W	6183.Smp_210680.1
OG0000973	YOR206W	6183.Smp_154980.1
OG0000975	YPL217C	6183.Smp_100030.1
OG0000976	YOR341W	6183.Smp_129500.1
OG0000978	YLR075W	6183.Smp_013200.2
OG0000980	YKL002W	6183.Smp_016390.1
OG0000982	YPL009C	6183.Smp_052790.1
OG0000983	YDR243C	6183.Smp_093690.2
OG0000984	YGR005C	6183.Smp_121640.1
OG0000985	YOR160W	6183.Smp_164410.1
OG0000987	YOR039W	6183.Smp_025010.1
OG0000991	YNL297C	6183.Smp_212080.1
OG0000992	YNL102W	6183.Smp_178260.1
OG0000994	YOR281C	6183.Smp_086760.1
OG0000996	YFR027W	6183.Smp_065150.1
OG0001001	YAL003W	6183.Smp_030690.1
OG0001002	YBL037W	6183.Smp_074020.1
OG0001003	YDR232W	6183.Smp_045260.1
OG0001004	YER159C	6183.Smp_167570.1
OG0001007	YNR001C	6183.Smp_204770.1
OG0001010	YFR052W	6183.Smp_047740.1
OG0001011	YGL211W	6183.Smp_040560.1
OG0001012	YBL022C	6183.Smp_126490.1
OG0001014	YOR270C	6183.Smp_040970.1
OG0001015	YOR115C	6183.Smp_210420.1
OG0001017	YER183C	6183.Smp_087230.1
OG0001020	YDR489W	6183.Smp_042430.2
OG0001022	YDL015C	6183.Smp_081820.3
OG0001023	YNL221C	6183.Smp_084810.1
OG0001029	YNR052C	6183.Smp_021870.1
OG0001030	YNL061W	6183.Smp_005080.1
OG0001031	YER172C	6183.Smp_105700.1
OG0001032	YGR181W	6183.Smp_061560.1
OG0001033	YLR272C	6183.Smp_131070.1
OG0001034	YNL284C	6183.Smp_021080.1
OG0001036	YMR012W	6183.Smp_161480.1
OG0001038	YJR131W	6183.Smp_018150.1
OG0001039	YDL097C	6183.Smp_061650.1
OG0001042	YIL126W	6183.Smp_158050.1
OG0001043	YPL111W	6183.Smp_059980.1
OG0001045	YBR243C	6183.Smp_051360.1
OG0001047	YBR234C	6183.Smp_134400.1
OG0001050	YGL017W	6183.Smp_101220.1
OG0001051	YBR179C	6183.Smp_132620.2
OG0001052	YBR247C	6183.Smp_046550.1
OG0001053	YOL038W	6183.Smp_076230.1
OG0001054	YOL124C	6183.Smp_077670.1
OG0001057	YML085C	6183.Smp_103790.1
OG0001059	YKL172W	6183.Smp_160420.1
OG0001062	YPL059W	6183.Smp_212580.2
OG0001063	YPL218W	6183.Smp_073590.1
OG0001064	YBR227C	6183.Smp_063480.1
OG0001065	YMR224C	6183.Smp_068110.1
OG0001067	YAL019W	6183.Smp_022310.1
OG0001068	YKL149C	6183.Smp_007190.1
OG0001069	YFL018C	6183.Smp_046740.1
OG0001073	YDL045C	6183.Smp_126650.1
OG0001075	YBR160W	6183.Smp_073340.1
OG0001076	YMR304W	6183.Smp_089180.1
OG0001078	YOR335C	6183.Smp_038240.1
OG0001080	YBL080C	6183.Smp_181240.1
OG0001081	YEL032W	6183.Smp_037590.1
OG0001082	YKL110C	6183.Smp_196910.1
OG0001083	YPL006W	6183.Smp_039130.1
OG0001084	YHR132C	6183.Smp_088270.1
OG0001085	YMR240C	6183.Smp_096810.1
OG0001087	YNL039W	6183.Smp_052800.1
OG0001089	YML001W	6183.Smp_067140.1
OG0001091	YLR253W	6183.Smp_098370.2
OG0001094	YNR036C	6183.Smp_095590.1
OG0001095	YGR098C	6183.Smp_167810.1
OG0001096	YPR181C	6183.Smp_099310.1
OG0001098	YDR460W	6183.Smp_045750.1
OG0001099	YJR069C	6183.Smp_063120.1
OG0001101	YJL008C	6183.Smp_046090.2
OG0001102	YCR036W	6183.Smp_044850.1
OG0001105	YDL028C	6183.Smp_171610.1
OG0001106	YCR063W	6183.Smp_092380.1
OG0001107	YOR157C	6183.Smp_073410.1
OG0001108	YDR060W	6183.Smp_132590.1
OG0001110	YGR172C	6183.Smp_027080.1
OG0001111	YJR040W	6183.Smp_071970.1
OG0001112	YBR229C	6183.Smp_018760.1
OG0001113	YPL091W	6183.Smp_048430.1
OG0001114	YER013W	6183.Smp_157510.1
OG0001115	YLR117C	6183.Smp_148230.1
OG0001116	YOR274W	6183.Smp_102920.1
OG0001117	YDR097C	6183.Smp_042670.2
OG0001119	YNR041C	6183.Smp_202500.1
OG0001120	YOR093C	6183.Smp_212570.1
OG0001121	YDL160C	6183.Smp_211330.1
OG0001122	YBR143C	6183.Smp_066630.1
OG0001123	YNL263C	6183.Smp_023230.1
OG0001124	YNL059C	6183.Smp_125790.1
OG0001127	YLR069C	6183.Smp_075690.1
OG0001129	YOR207C	6183.Smp_153760.2
OG0001131	YLR008C	6183.Smp_151650.1
OG0001132	YER094C	6183.Smp_121430.2
OG0001133	YLR231C	6183.Smp_023470.1
OG0001134	YOL005C	6183.Smp_040710.1
OG0001135	YKR038C	6183.Smp_012450.1
OG0001137	YIL065C	6183.Smp_032230.1
OG0001138	YPL175W	6183.Smp_046880.2
OG0001140	YLR103C	6183.Smp_047610.1
OG0001141	YNL026W	6183.Smp_166680.1
OG0001142	YFR006W	6183.Smp_090800.1
OG0001143	YDR129C	6183.Smp_037230.1
OG0001144	YHL032C	6183.Smp_141770.1
OG0001146	YDL066W	6183.Smp_163050.1
OG0001147	YGR274C	6183.Smp_166840.1
OG0001148	YDR302W	6183.Smp_133440.1
OG0001151	YPL125W	6183.Smp_049920.3
OG0001152	YMR260C	6183.Smp_024880.1
OG0001153	YBR097W	6183.Smp_123610.1
OG0001154	YLR429W	6183.Smp_012720.1
OG0001155	YNL169C	6183.Smp_021830.1
OG0001156	YBR136W	6183.Smp_162340.1
OG0001157	YDR101C	6183.Smp_150690.1
OG0001160	YDR212W	6183.Smp_017360.1
OG0001161	YBR039W	6183.Smp_033670.5
OG0001163	YAL048C	6183.Smp_149440.1
OG0001165	YJR138W	6183.Smp_066370.1
OG0001169	YOR349W	6183.Smp_153590.1
OG0001171	YBR087W	6183.Smp_050820.1
OG0001172	YOL090W	6183.Smp_199070.1
OG0001173	YOR271C	6183.Smp_136960.1
OG0001174	YPL270W	6183.Smp_063000.1
OG0001176	YBR121C	6183.Smp_040800.1
OG0001177	YDR168W	6183.Smp_067900.1
OG0001178	YAL025C	6183.Smp_050360.1
OG0001179	YGR006W	6183.Smp_059360.1
OG0001180	YOR106W	6183.Smp_148320.1
OG0001182	YBR026C	6183.Smp_026310.1
OG0001184	YGL040C	6183.Smp_045810.1
OG0001185	YKL135C	6183.Smp_034870.1
OG0001186	YIR022W	6183.Smp_031730.1
OG0001188	YNL248C	6183.Smp_137830.1
OG0001189	YLR304C	6183.Smp_063090.1
OG0001190	YPR110C	6183.Smp_004640.1
OG0001193	YHR186C	6183.Smp_159000.1
OG0001194	YDR238C	6183.Smp_124430.1
OG0001196	YJR002W	6183.Smp_023660.1
OG0001197	YPL042C	6183.Smp_156990.1
OG0001199	YPL172C	6183.Smp_057930.1
OG0001201	YOR001W	6183.Smp_131150.1
OG0001202	YLR027C	6183.Smp_049150.1
OG0001203	YIL153W	6183.Smp_166290.1
OG0001204	YPR051W	6183.Smp_063580.2
OG0001205	YKR068C	6183.Smp_149360.1
OG0001208	YIR002C	6183.Smp_083710.1
OG0001209	YBL068W	6183.Smp_022090.1
OG0001210	YLR378C	6183.Smp_053820.1
