Orthogroup	Saccharomyces_cerevisiae.R64-1-1.pep.all	Schistossoma
OG0000034	YDR424C	6183.Smp_200180.1, 6183.Smp_040680.1, 6183.Smp_019310.1, 6183.Smp_174520.1, 6183.Smp_095520.1, 6183.Smp_201060.1, 6183.Smp_051400.1, 6183.Smp_114620.1, 6183.Smp_030910.1, 6183.Smp_095500.1, 6183.Smp_095480.1, 6183.Smp_005470.1, 6183.Smp_125010.1, 6183.Smp_125020.1, 6183.Smp_174510.1
OG0000037	YCR065W	6183.Smp_135710.1, 6183.Smp_145650.1, 6183.Smp_150430.1, 6183.Smp_133480.1, 6183.Smp_158750.1, 6183.Smp_054350.1, 6183.Smp_098780.1, 6183.Smp_076300.1, 6183.Smp_155010.1, 6183.Smp_086270.1, 6183.Smp_012010.1, 6183.Smp_212350.1, 6183.Smp_200710.1, 6183.Smp_152170.1
OG0000039	YOR246C	6183.Smp_000190.1, 6183.Smp_203940.1, 6183.Smp_015520.1, 6183.Smp_179840.1, 6183.Smp_170300.1, 6183.Smp_076580.1, 6183.Smp_081430.1, 6183.Smp_203950.1, 6183.Smp_120070.1, 6183.Smp_139680.1, 6183.Smp_139700.1, 6183.Smp_032370.1, 6183.Smp_179850.1
OG0000044	YOR141C	6183.Smp_069120.1, 6183.Smp_206290.1, 6183.Smp_159640.1, 6183.Smp_150920.1, 6183.Smp_175900.1, 6183.Smp_145120.1, 6183.Smp_151430.1, 6183.Smp_050630.1, 6183.Smp_150350.1, 6183.Smp_210510.1, 6183.Smp_194330.1, 6183.Smp_129790.1
OG0000045	YDL240W	6183.Smp_140310.1, 6183.Smp_138170.1, 6183.Smp_000790.1, 6183.Smp_163960.1, 6183.Smp_146200.2, 6183.Smp_022340.1, 6183.Smp_157310.1, 6183.Smp_012810.1, 6183.Smp_048560.1, 6183.Smp_143130.1, 6183.Smp_020540.2, 6183.Smp_165070.1
OG0000051	YOR360C	6183.Smp_153650.1, 6183.Smp_044060.1, 6183.Smp_129270.1, 6183.Smp_134140.1, 6183.Smp_141980.1, 6183.Smp_134500.1, 6183.Smp_197150.1, 6183.Smp_124250.1, 6183.Smp_146120.1, 6183.Smp_135500.1, 6183.Smp_179590.1
OG0000055	YPL154C	6183.Smp_013040.2, 6183.Smp_136730.1, 6183.Smp_136720.1, 6183.Smp_132470.1, 6183.Smp_018800.1, 6183.Smp_136840.1, 6183.Smp_197470.1, 6183.Smp_132480.1, 6183.Smp_205390.1, 6183.Smp_136830.2
OG0000056	YER015W	6183.Smp_101650.1, 6183.Smp_142680.1, 6183.Smp_119730.1, 6183.Smp_138660.1, 6183.Smp_198870.1, 6183.Smp_038970.1, 6183.Smp_165850.1, 6183.Smp_125560.1, 6183.Smp_209040.1, 6183.Smp_175090.3
OG0000067	YDR432W	6183.Smp_185230.1, 6183.Smp_036270.2, 6183.Smp_071640.1, 6183.Smp_086600.2, 6183.Smp_098890.2, 6183.Smp_070200.1, 6183.Smp_032320.6, 6183.Smp_113620.3, 6183.Smp_192360.1
OG0000068	YER066W, YFL009W	6183.Smp_030320.1
